"date","michigan"
"2013-12-01",15
"2013-12-08",10
"2013-12-15",10
"2013-12-22",6
"2013-12-29",5
"2014-01-05",5
"2014-01-12",6
"2014-01-19",6
"2014-01-26",5
"2014-02-02",5
"2014-02-09",7
"2014-02-16",6
"2014-02-23",11
"2014-03-02",9
"2014-03-09",5
"2014-03-16",4
"2014-03-23",5
"2014-03-30",4
"2014-04-06",3
"2014-04-13",3
"2014-04-20",3
"2014-04-27",2
"2014-05-04",2
"2014-05-11",2
"2014-05-18",3
"2014-05-25",2
"2014-06-01",2
"2014-06-08",3
"2014-06-15",2
"2014-06-22",2
"2014-06-29",2
"2014-07-06",2
"2014-07-13",2
"2014-07-20",2
"2014-07-27",2
"2014-08-03",2
"2014-08-10",2
"2014-08-17",3
"2014-08-24",2
"2014-08-31",1
"2014-09-07",2
"2014-09-14",2
"2014-09-21",2
"2014-09-28",3
"2014-10-05",3
"2014-10-12",2
"2014-10-19",2
"2014-10-26",1
"2014-11-02",2
"2014-11-09",3
"2014-11-16",2
"2014-11-23",1
"2014-11-30",2
"2014-12-07",2
"2014-12-14",3
"2014-12-21",3
"2014-12-28",2
"2015-01-04",2
"2015-01-11",2
"2015-01-18",2
"2015-01-25",2
"2015-02-01",2
"2015-02-08",2
"2015-02-15",2
"2015-02-22",1
"2015-03-01",2
"2015-03-08",2
"2015-03-15",2
"2015-03-22",2
"2015-03-29",2
"2015-04-05",2
"2015-04-12",2
"2015-04-19",2
"2015-04-26",2
"2015-05-03",1
"2015-05-10",2
"2015-05-17",2
"2015-05-24",2
"2015-05-31",2
"2015-06-07",2
"2015-06-14",3
"2015-06-21",2
"2015-06-28",2
"2015-07-05",3
"2015-07-12",2
"2015-07-19",1
"2015-07-26",1
"2015-08-02",2
"2015-08-09",2
"2015-08-16",2
"2015-08-23",2
"2015-08-30",1
"2015-09-06",1
"2015-09-13",2
"2015-09-20",1
"2015-09-27",2
"2015-10-04",1
"2015-10-11",1
"2015-10-18",1
"2015-10-25",2
"2015-11-01",4
"2015-11-08",2
"2015-11-15",2
"2015-11-22",2
"2015-11-29",1
"2015-12-06",3
"2015-12-13",2
"2015-12-20",2
"2015-12-27",2
"2016-01-03",2
"2016-01-10",2
"2016-01-17",3
"2016-01-24",2
"2016-01-31",2
"2016-02-07",1
"2016-02-14",2
"2016-02-21",2
"2016-02-28",2
"2016-03-06",2
"2016-03-13",2
"2016-03-20",1
"2016-03-27",2
"2016-04-03",2
"2016-04-10",1
"2016-04-17",2
"2016-04-24",1
"2016-05-01",3
"2016-05-08",2
"2016-05-15",2
"2016-05-22",2
"2016-05-29",3
"2016-06-05",2
"2016-06-12",3
"2016-06-19",3
"2016-06-26",2
"2016-07-03",2
"2016-07-10",2
"2016-07-17",2
"2016-07-24",2
"2016-07-31",3
"2016-08-07",2
"2016-08-14",2
"2016-08-21",2
"2016-08-28",1
"2016-09-04",1
"2016-09-11",2
"2016-09-18",2
"2016-09-25",1
"2016-10-02",1
"2016-10-09",2
"2016-10-16",1
"2016-10-23",2
"2016-10-30",2
"2016-11-06",2
"2016-11-13",3
"2016-11-20",2
"2016-11-27",2
"2016-12-04",2
"2016-12-11",2
"2016-12-18",3
"2016-12-25",3
"2017-01-01",5
"2017-01-08",3
"2017-01-15",2
"2017-01-22",3
"2017-01-29",3
"2017-02-05",3
"2017-02-12",3
"2017-02-19",3
"2017-02-26",4
"2017-03-05",4
"2017-03-12",4
"2017-03-19",3
"2017-03-26",3
"2017-04-02",3
"2017-04-09",3
"2017-04-16",3
"2017-04-23",3
"2017-04-30",5
"2017-05-07",6
"2017-05-14",7
"2017-05-21",16
"2017-05-28",9
"2017-06-04",10
"2017-06-11",9
"2017-06-18",8
"2017-06-25",8
"2017-07-02",5
"2017-07-09",7
"2017-07-16",8
"2017-07-23",8
"2017-07-30",11
"2017-08-06",10
"2017-08-13",15
"2017-08-20",11
"2017-08-27",12
"2017-09-03",12
"2017-09-10",14
"2017-09-17",10
"2017-09-24",9
"2017-10-01",8
"2017-10-08",13
"2017-10-15",15
"2017-10-22",15
"2017-10-29",21
"2017-11-05",23
"2017-11-12",26
"2017-11-19",23
"2017-11-26",67
"2017-12-03",98
"2017-12-10",81
"2017-12-17",100
"2017-12-24",56
"2017-12-31",40
"2018-01-07",39
"2018-01-14",49
"2018-01-21",34
"2018-01-28",34
"2018-02-04",40
"2018-02-11",23
"2018-02-18",19
"2018-02-25",15
"2018-03-04",16
"2018-03-11",16
"2018-03-18",14
"2018-03-25",13
"2018-04-01",14
"2018-04-08",13
"2018-04-15",12
"2018-04-22",12
"2018-04-29",10
"2018-05-06",10
"2018-05-13",9
"2018-05-20",9
"2018-05-27",8
"2018-06-03",8
"2018-06-10",12
"2018-06-17",8
"2018-06-24",9
"2018-07-01",9
"2018-07-08",8
"2018-07-15",8
"2018-07-22",10
"2018-07-29",9
"2018-08-05",9
"2018-08-12",9
"2018-08-19",8
"2018-08-26",7
"2018-09-02",8
"2018-09-09",8
"2018-09-16",8
"2018-09-23",6
"2018-09-30",6
"2018-10-07",5
"2018-10-14",6
"2018-10-21",5
"2018-10-28",6
"2018-11-04",5
"2018-11-11",8
"2018-11-18",10
