"date","iowa"
"2013-12-01",12
"2013-12-08",10
"2013-12-15",11
"2013-12-22",5
"2013-12-29",4
"2014-01-05",7
"2014-01-12",6
"2014-01-19",7
"2014-01-26",8
"2014-02-02",5
"2014-02-09",6
"2014-02-16",5
"2014-02-23",11
"2014-03-02",9
"2014-03-09",4
"2014-03-16",5
"2014-03-23",4
"2014-03-30",4
"2014-04-06",3
"2014-04-13",4
"2014-04-20",4
"2014-04-27",3
"2014-05-04",2
"2014-05-11",3
"2014-05-18",4
"2014-05-25",4
"2014-06-01",3
"2014-06-08",3
"2014-06-15",2
"2014-06-22",2
"2014-06-29",3
"2014-07-06",2
"2014-07-13",2
"2014-07-20",3
"2014-07-27",3
"2014-08-03",2
"2014-08-10",1
"2014-08-17",2
"2014-08-24",3
"2014-08-31",4
"2014-09-07",1
"2014-09-14",3
"2014-09-21",2
"2014-09-28",2
"2014-10-05",3
"2014-10-12",2
"2014-10-19",2
"2014-10-26",2
"2014-11-02",3
"2014-11-09",3
"2014-11-16",4
"2014-11-23",1
"2014-11-30",2
"2014-12-07",3
"2014-12-14",3
"2014-12-21",4
"2014-12-28",2
"2015-01-04",3
"2015-01-11",2
"2015-01-18",1
"2015-01-25",2
"2015-02-01",2
"2015-02-08",3
"2015-02-15",3
"2015-02-22",2
"2015-03-01",3
"2015-03-08",3
"2015-03-15",3
"2015-03-22",2
"2015-03-29",1
"2015-04-05",2
"2015-04-12",2
"2015-04-19",2
"2015-04-26",2
"2015-05-03",2
"2015-05-10",3
"2015-05-17",1
"2015-05-24",2
"2015-05-31",2
"2015-06-07",2
"2015-06-14",3
"2015-06-21",4
"2015-06-28",2
"2015-07-05",5
"2015-07-12",3
"2015-07-19",1
"2015-07-26",3
"2015-08-02",2
"2015-08-09",1
"2015-08-16",3
"2015-08-23",2
"2015-08-30",2
"2015-09-06",1
"2015-09-13",3
"2015-09-20",2
"2015-09-27",1
"2015-10-04",3
"2015-10-11",1
"2015-10-18",1
"2015-10-25",1
"2015-11-01",4
"2015-11-08",2
"2015-11-15",2
"2015-11-22",3
"2015-11-29",3
"2015-12-06",3
"2015-12-13",3
"2015-12-20",2
"2015-12-27",2
"2016-01-03",3
"2016-01-10",2
"2016-01-17",3
"2016-01-24",2
"2016-01-31",3
"2016-02-07",2
"2016-02-14",4
"2016-02-21",3
"2016-02-28",3
"2016-03-06",1
"2016-03-13",2
"2016-03-20",2
"2016-03-27",3
"2016-04-03",2
"2016-04-10",2
"2016-04-17",1
"2016-04-24",2
"2016-05-01",2
"2016-05-08",2
"2016-05-15",1
"2016-05-22",2
"2016-05-29",3
"2016-06-05",4
"2016-06-12",4
"2016-06-19",5
"2016-06-26",3
"2016-07-03",3
"2016-07-10",1
"2016-07-17",3
"2016-07-24",2
"2016-07-31",3
"2016-08-07",3
"2016-08-14",1
"2016-08-21",1
"2016-08-28",1
"2016-09-04",2
"2016-09-11",2
"2016-09-18",1
"2016-09-25",1
"2016-10-02",3
"2016-10-09",2
"2016-10-16",2
"2016-10-23",2
"2016-10-30",2
"2016-11-06",1
"2016-11-13",2
"2016-11-20",2
"2016-11-27",3
"2016-12-04",3
"2016-12-11",2
"2016-12-18",3
"2016-12-25",4
"2017-01-01",6
"2017-01-08",4
"2017-01-15",4
"2017-01-22",2
"2017-01-29",3
"2017-02-05",4
"2017-02-12",2
"2017-02-19",4
"2017-02-26",5
"2017-03-05",4
"2017-03-12",3
"2017-03-19",4
"2017-03-26",5
"2017-04-02",3
"2017-04-09",3
"2017-04-16",2
"2017-04-23",3
"2017-04-30",5
"2017-05-07",7
"2017-05-14",5
"2017-05-21",17
"2017-05-28",7
"2017-06-04",7
"2017-06-11",10
"2017-06-18",9
"2017-06-25",7
"2017-07-02",6
"2017-07-09",8
"2017-07-16",7
"2017-07-23",8
"2017-07-30",12
"2017-08-06",12
"2017-08-13",14
"2017-08-20",11
"2017-08-27",11
"2017-09-03",10
"2017-09-10",12
"2017-09-17",11
"2017-09-24",9
"2017-10-01",8
"2017-10-08",13
"2017-10-15",17
"2017-10-22",14
"2017-10-29",19
"2017-11-05",20
"2017-11-12",24
"2017-11-19",23
"2017-11-26",63
"2017-12-03",97
"2017-12-10",86
"2017-12-17",100
"2017-12-24",51
"2017-12-31",37
"2018-01-07",36
"2018-01-14",47
"2018-01-21",29
"2018-01-28",33
"2018-02-04",37
"2018-02-11",17
"2018-02-18",22
"2018-02-25",16
"2018-03-04",16
"2018-03-11",15
"2018-03-18",15
"2018-03-25",15
"2018-04-01",16
"2018-04-08",12
"2018-04-15",12
"2018-04-22",14
"2018-04-29",12
"2018-05-06",9
"2018-05-13",11
"2018-05-20",9
"2018-05-27",8
"2018-06-03",7
"2018-06-10",9
"2018-06-17",8
"2018-06-24",10
"2018-07-01",10
"2018-07-08",9
"2018-07-15",11
"2018-07-22",10
"2018-07-29",9
"2018-08-05",9
"2018-08-12",10
"2018-08-19",9
"2018-08-26",7
"2018-09-02",8
"2018-09-09",6
"2018-09-16",5
"2018-09-23",6
"2018-09-30",5
"2018-10-07",6
"2018-10-14",5
"2018-10-21",4
"2018-10-28",5
"2018-11-04",5
"2018-11-11",8
"2018-11-18",9
